Data;Histórico;Valor
01/08/2026;SALARIO EMPRESA DEMO LTDA;4000,00
02/08/2026;ALUGUEL APARTAMENTO;-1400,00
03/08/2026;IFOOD *PEDIDO 88213;-64,20
04/08/2026;NETFLIX.COM;-39,90
04/08/2026;SPOTIFY;-21,90
05/08/2026;UBER *TRIP;-28,50
06/08/2026;SUPERMERCADO BOM PRECO;-380,40
07/08/2026;POSTO IPIRANGA;-150,00
08/08/2026;FARMACIA DROGASIL;-73,50
09/08/2026;AMAZON.COM.BR;-19,90
10/08/2026;CINEMA SHOPPING CENTER;-58,00
11/08/2026;ACADEMIA SMART FIT;-99,90
12/08/2026;CONTA DE LUZ CELESC;-210,30
13/08/2026;INTERNET FIBRA VIVO;-99,90
14/08/2026;RESTAURANTE PRATO FEITO;-42,00
15/08/2026;FREELANCE PROJETO X;650,00
16/08/2026;UBER *TRIP;-31,20
17/08/2026;PADARIA DO BAIRRO;-18,50
18/08/2026;MERCADO LIVRE COMPRA;-129,90
19/08/2026;PIX RECEBIDO JOAO SILVA;300,00
